brand,platform,post_url,post_date,post_time,post_type,video_length_seconds,caption_text,hashtags,likes,comments,shares,saves,views,impressions,engagement_rate_manual,visual_style,caption_tone,cta_type,has_creator_collab,creator_handle,has_music_audio,audio_description,emoji_count_in_caption,caption_word_count,mentions_count,is_paid_partnership,notes,content_pillar,collaboration,content_mix_funnel,sku,content_theme
1800 Tequila,Instagram,https://www.instagram.com/reel/DUL6AQ4Ejfr/,2026-01-31,14:01,Reel,0,"1800 Cristalino offers the complexity of an Añejo in its most stunning, crystal-clear form.",,119,3,0,0,0,0,,,Casual / Conversational,None,No,,Yes,,0,14,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
1800 Tequila,Instagram,https://www.instagram.com/reel/DQhnYynEXwf/,2025-11-01,15:30,Reel,0,"Every toast carries memory. Smooth, clear, and refined, 1800 Cristalino honors timeless taste and the people who shaped it.",,116,5,0,0,0,0,,,Premium / Luxury,None,No,,Yes,,0,19,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
Espolon,Instagram,https://www.instagram.com/p/DTQ-tPxkv79/,2026-01-08,16:46,Static Image,0,Your 2026 vibe in 3 words 👀 go,,92,28,0,0,0,0,,,Casual / Conversational,None,No,,No,,1,8,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
1800 Tequila,Instagram,https://www.instagram.com/reel/DP9N3khDGCS/,2025-10-18,12:01,Reel,0,"1800.
Cranked to 90.
Coming Soon.",,109,10,0,0,0,0,,,Casual / Conversational,None,No,,Yes,,0,6,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
Teremana,Instagram,https://www.instagram.com/reel/DV1JHbejXv4/,2026-03-13,11:53,Reel,0,tag your long distance bff 👇🏼,,107,11,0,0,0,0,,,Casual / Conversational,Tag a friend,No,,Yes,,2,6,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
1800 Tequila,Instagram,https://www.instagram.com/reel/DP4VD_xEXaN/,2025-10-16,14:30,Reel,0,"The anticipation is high.
Something bold is about to drop.",,102,16,0,0,0,0,,,Bold / Edgy,None,No,,Yes,,0,10,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
Milagro,Instagram,https://www.instagram.com/p/DTRGFvrkkoy/,2026-01-08,17:51,Carousel,0,"Swipe to see the energy we brought to the 2026 criticschoice ✨Celebrating the nominees, the winners, and the magic of the night. 

With love, Milagro.",,109,8,0,0,0,0,,,Casual / Conversational,None,No,,No,,1,25,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
Casamigos,Instagram,https://www.instagram.com/p/DQkdGV7geii/,2025-11-02,16:43,Static Image,0,"Sundays are for football and Casamigos 🏈​

Official Tequila Sponsor of the NFL.​
Find our Casamigos Margaritas near you - link in bio.",,110,5,0,0,0,0,,,Casual / Conversational,Link in bio,No,,No,,1,23,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
1800 Tequila,Instagram,https://www.instagram.com/reel/DTs6--UCClD/,2026-01-19,13:13,Reel,0,"1800: The bartender’s go-to. A pour so smooth, you’ll make it yours too.",,111,4,0,0,0,0,,,Casual / Conversational,None,No,,Yes,,0,13,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
Hornitos,Instagram,https://www.instagram.com/reel/DUDDVttgVQa/,2026-01-28,18:05,Reel,0,"Tag that one friend who always dances 💃🕺 
As the Tequila de Todos, we want Todos to enjoy the halftime show. So by sharing this video, we’ll slowly Spanish-ify your feed so you can be ready.",,99,14,0,0,0,0,,,Casual / Conversational,None,No,,Yes,,2,36,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
