"Date","Instagram Profile","Followers","Net Follower Growth","Followers Gained","Followers Lost","Following","Net Following Growth","Published Posts","Views","Reach","Organic Engagements","Organic Likes","Organic Comments","Organic Shares","Organic Saves","Story Replies","Engagement Rate (per View)"
"02-01-2025","josecuervotequila","","","","","","","0","136,832","649,155","0","0","0","0","0","0","0%"
"02-02-2025","josecuervotequila","","","","","","","0","139,970","675,344","0","0","0","0","0","0","0%"
"02-03-2025","josecuervotequila","","","","","","","0","161,104","707,211","0","0","0","0","0","0","0%"
"02-04-2025","josecuervotequila","","","","","","","0","163,770","687,210","0","0","0","0","0","0","0%"
"02-05-2025","josecuervotequila","","","","","","","0","157,794","647,224","0","0","0","0","0","0","0%"
"02-06-2025","josecuervotequila","","","","","","","0","144,523","630,114","0","0","0","0","0","0","0%"
"02-07-2025","josecuervotequila","","","","","","","0","165,441","653,435","0","0","0","0","0","0","0%"
"02-08-2025","josecuervotequila","","","","","","","0","153,774","652,002","0","0","0","0","0","0","0%"
"02-09-2025","josecuervotequila","","","","","","","0","126,227","643,557","0","0","0","0","0","0","0%"
"02-10-2025","josecuervotequila","","","","","","","0","149,813","634,993","0","0","0","0","0","0","0%"
"02-11-2025","josecuervotequila","","","","","","","0","170,614","669,838","0","0","0","0","0","0","0%"
"02-12-2025","josecuervotequila","","","","","","","0","147,100","638,642","0","0","0","0","0","0","0%"
"02-13-2025","josecuervotequila","","","","","","","0","147,551","618,340","0","0","0","0","0","0","0%"
"02-14-2025","josecuervotequila","","","","","","","0","118,548","680,655","0","0","0","0","0","0","0%"
"02-15-2025","josecuervotequila","","","","","","","0","119,624","620,116","0","0","0","0","0","0","0%"
"02-16-2025","josecuervotequila","","","","","","","0","163,629","696,838","0","0","0","0","0","0","0%"
"02-17-2025","josecuervotequila","","","","","","","0","196,084","681,975","0","0","0","0","0","0","0%"
"02-18-2025","josecuervotequila","","","","","","","0","168,952","668,433","0","0","0","0","0","0","0%"
"02-19-2025","josecuervotequila","","","","","","","0","151,328","666,661","0","0","0","0","0","0","0%"
"02-20-2025","josecuervotequila","","","","","","","0","681,533","1,194,957","0","0","0","0","0","0","0%"
"02-21-2025","josecuervotequila","","","","","","","0","1,047,357","1,478,558","0","0","0","0","0","0","0%"
"02-22-2025","josecuervotequila","","","","","","","0","944,878","1,345,311","0","0","0","0","0","0","0%"
"02-23-2025","josecuervotequila","","","","","","","0","249,888","715,412","0","0","0","0","0","0","0%"
"02-24-2025","josecuervotequila","","","","","","","0","220,558","690,261","0","0","0","0","0","0","0%"
"02-25-2025","josecuervotequila","","","","","","","0","209,595","679,057","0","0","0","0","0","0","0%"
"02-26-2025","josecuervotequila","","","","","","","0","198,285","616,381","0","0","0","0","0","0","0%"
"02-27-2025","josecuervotequila","","","","","","","0","178,740","588,818","0","0","0","0","0","0","0%"
"02-28-2025","josecuervotequila","","","","","","","1","184,094","649,346","0","0","0","0","0","0","0%"
"03-01-2025","josecuervotequila","","","","","","","0","165,585","656,145","14","11","2","1","0","0","0.01%"
"03-02-2025","josecuervotequila","","","","","","","0","186,693","710,053","59","50","2","7","0","0","0.03%"
"03-03-2025","josecuervotequila","","","","","","","0","180,528","665,792","33","27","1","4","1","0","0.02%"
"03-04-2025","josecuervotequila","","","","","","","0","166,281","640,046","21","17","2","2","0","0","0.01%"
"03-05-2025","josecuervotequila","","","","","","","0","156,503","620,662","14","12","0","2","0","0","0.01%"
"03-06-2025","josecuervotequila","","","","","","","1","158,549","628,663","12","9","1","2","0","0","0.01%"
"03-07-2025","josecuervotequila","","","","","","","1","208,926","653,124","33","25","2","5","1","0","0.02%"
"03-08-2025","josecuervotequila","","","","","","","1","169,580","614,375","95","76","2","15","2","0","0.06%"
"03-09-2025","josecuervotequila","","","","","","","0","188,829","615,971","128","103","3","20","2","0","0.07%"
"03-10-2025","josecuervotequila","","","","","","","0","165,810","603,995","118","89","4","23","2","0","0.07%"
"03-11-2025","josecuervotequila","","","","","","","1","156,940","594,281","77","59","3","12","3","0","0.05%"
"03-12-2025","josecuervotequila","","","","","","","0","164,440","555,452","70","53","3","13","1","0","0.04%"
"03-13-2025","josecuervotequila","","","","","","","0","194,983","567,748","99","75","5","17","2","0","0.05%"
"03-14-2025","josecuervotequila","","","","","","","0","148,613","563,194","66","51","4","10","1","0","0.04%"
"03-15-2025","josecuervotequila","","","","","","","1","151,911","568,610","53","38","4","10","1","0","0.03%"
"03-16-2025","josecuervotequila","","","","","","","0","158,293","577,985","49","39","2","7","1","0","0.03%"
"03-17-2025","josecuervotequila","","","","","","","0","166,216","546,916","69","58","2","7","2","0","0.04%"
"03-18-2025","josecuervotequila","","","","","","","0","166,140","589,393","41","32","2","6","1","0","0.02%"
"03-19-2025","josecuervotequila","","","","","","","0","147,921","505,339","32","25","3","3","1","0","0.02%"
"03-20-2025","josecuervotequila","","","","","","","0","130,429","539,012","26","20","1","4","1","0","0.02%"
"03-21-2025","josecuervotequila","","","","","","","0","126,078","526,241","20","16","1","2","1","0","0.02%"
"03-22-2025","josecuervotequila","","","","","","","0","109,192","494,699","13","8","1","3","1","0","0.01%"
"03-23-2025","josecuervotequila","","","","","","","0","114,127","493,887","9","8","1","0","0","0","0.01%"
"03-24-2025","josecuervotequila","","","","","","","0","135,484","522,617","9","7","0","2","0","0","0.01%"
"03-25-2025","josecuervotequila","","","","","","","0","137,440","468,915","6","6","0","0","0","0","0%"
"03-26-2025","josecuervotequila","","","","","","","0","148,205","469,492","5","3","1","1","0","0","0%"
"03-27-2025","josecuervotequila","","","","","","","0","132,266","460,754","4","2","0","1","1","0","0%"
"03-28-2025","josecuervotequila","","","","","","","1","186,308","488,042","2","2","0","0","0","0","0%"
"03-29-2025","josecuervotequila","","","","","","","0","129,585","487,820","16","14","2","0","0","0","0.01%"
"03-30-2025","josecuervotequila","","","","","","","0","122,875","492,212","43","41","1","0","1","0","0.03%"
"03-31-2025","josecuervotequila","106,398","0","0","","","","0","102,540","402,369","27","24","1","1","1","0","0.03%"
