"Date","Network","Profile","Audience","Net Audience Growth","Audience Gained","Sent Messages (Total)","Published Posts (Total)","Received Messages (Total)","Impressions","Video Views","Engagements","Engagement Rate (per Impression)","Reactions","Comments","Shares","Post Link Clicks","Saves","Other Post Clicks","Other Engagements","Sent posts (X)","Sent Quotes (X)","Sent @Replies (X)","Sent Direct Messages (X)","Sent Posts (Facebook)","Sent Ad Posts (Facebook)","Sent Comments (Facebook)","Sent Ad Comments (Facebook)","Sent Private Messages (Facebook)","Sent Posts (Instagram)","Sent Stories (Instagram)","Sent Reels (Instagram)","Sent Comments (Instagram)","Sent Ad Comments (Instagram)","Sent Posts (Threads)","Sent Quotes (Threads)","Sent Comments (Threads)","Sent Posts (LinkedIn)","Sent Comments (LinkedIn)","Sent Direct Messages (LinkedIn)","Sent Videos (TikTok)","Sent Comments (TikTok)","Sent Pins (Pinterest)","Sent Saves (Pinterest)","Sent Videos (YouTube)","Received Mentions (X)","Received Direct Messages (X)","Received Reposts (X)","Received Quotes (X)","Received New Follower Alerts (X)","Received Wall Posts (Facebook)","Received Comments (Facebook)","Received Ad Comments (Facebook)","Received Private Messages (Facebook)","Received Comments (Instagram)","Received Ad Comments (Instagram)","Received Mentions (Instagram)","Received Media Tags (Instagram)","Received Posts (Threads)","Received Comments (Threads)","Received Comments (LinkedIn)","Received Direct Messages (LinkedIn)","Sent Direct Messages (Instagram)","Received Direct Messages (Instagram)","Received Comments (TikTok)"
"02-01-2025","Instagram","josecuervotequila","","","","0","0","2","136,832","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","2","","","","","0","0",""
"02-02-2025","Instagram","josecuervotequila","","","","0","0","2","139,970","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","2","","","","","0","0",""
"02-03-2025","Instagram","josecuervotequila","","","","0","0","7","161,104","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","1","0","0","6","","","","","0","0",""
"02-04-2025","Instagram","josecuervotequila","","","","0","0","2","163,770","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","2","","","","","0","0",""
"02-05-2025","Instagram","josecuervotequila","","","","0","0","1","157,794","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","1","","","","","0","0",""
"02-06-2025","Instagram","josecuervotequila","","","","0","0","7","144,523","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","7","","","","","0","0",""
"02-07-2025","Instagram","josecuervotequila","","","","0","0","5","165,441","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","1","0","0","4","","","","","0","0",""
"02-08-2025","Instagram","josecuervotequila","","","","0","0","6","153,774","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","6","","","","","0","0",""
"02-09-2025","Instagram","josecuervotequila","","","","0","0","1","126,227","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","1","","","","","0","0",""
"02-10-2025","Instagram","josecuervotequila","","","","0","0","6","149,813","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","6","","","","","0","0",""
"02-11-2025","Instagram","josecuervotequila","","","","0","0","8","170,614","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","8","","","","","0","0",""
"02-12-2025","Instagram","josecuervotequila","","","","0","0","7","147,100","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","7","","","","","0","0",""
"02-13-2025","Instagram","josecuervotequila","","","","0","0","5","147,551","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","5","","","","","0","0",""
"02-14-2025","Instagram","josecuervotequila","","","","0","0","8","118,548","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","8","","","","","0","0",""
"02-15-2025","Instagram","josecuervotequila","","","","0","0","4","119,624","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","4","","","","","0","0",""
"02-16-2025","Instagram","josecuervotequila","","","","0","0","2","163,629","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","2","","","","","0","0",""
"02-17-2025","Instagram","josecuervotequila","","","","0","0","1","196,084","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","1","","","","","0","0",""
"02-18-2025","Instagram","josecuervotequila","","","","0","0","4","168,952","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","4","","","","","0","0",""
"02-19-2025","Instagram","josecuervotequila","","","","0","0","10","151,328","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","10","","","","","0","0",""
"02-20-2025","Instagram","josecuervotequila","","","","0","0","7","681,533","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","7","","","","","0","0",""
"02-21-2025","Instagram","josecuervotequila","","","","0","0","12","1,047,357","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","12","","","","","0","0",""
"02-22-2025","Instagram","josecuervotequila","","","","0","0","17","944,878","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","17","","","","","0","0",""
"02-23-2025","Instagram","josecuervotequila","","","","0","0","6","249,888","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","6","","","","","0","0",""
"02-24-2025","Instagram","josecuervotequila","","","","0","0","6","220,558","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","6","","","","","0","0",""
"02-25-2025","Instagram","josecuervotequila","","","","0","0","7","209,595","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","7","","","","","0","0",""
"02-26-2025","Instagram","josecuervotequila","","","","0","0","8","198,285","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","8","","","","","0","0",""
"02-27-2025","Instagram","josecuervotequila","","","","0","0","5","178,740","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","5","","","","","0","0",""
"02-28-2025","Instagram","josecuervotequila","","","","1","1","12","184,094","0","0","0%","0","0","0","","0","","","","","","","","","","","","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","","9","0","0","3","","","","","0","0",""
"03-01-2025","Instagram","josecuervotequila","","","","1","0","7","165,585","0","14","0.01%","11","2","1","","0","","","","","","","","","","","","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","","1","0","0","6","","","","","0","0",""
"03-02-2025","Instagram","josecuervotequila","","","","0","0","4","186,693","0","59","0.03%","50","2","7","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","4","","","","","0","0",""
"03-03-2025","Instagram","josecuervotequila","","","","0","0","5","180,528","0","33","0.02%","27","1","4","","1","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","5","","","","","0","0",""
"03-04-2025","Instagram","josecuervotequila","","","","0","0","11","166,281","0","21","0.01%","17","2","2","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","11","","","","","0","0",""
"03-05-2025","Instagram","josecuervotequila","","","","0","0","12","156,503","0","14","0.01%","12","0","2","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","12","","","","","0","0",""
"03-06-2025","Instagram","josecuervotequila","","","","1","1","14","158,549","0","12","0.01%","9","1","2","","0","","","","","","","","","","","","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","","7","0","0","7","","","","","0","0",""
"03-07-2025","Instagram","josecuervotequila","","","","2","1","9","208,926","0","33","0.02%","25","2","5","","1","","","","","","","","","","","","1","0","0","1","0","","","","","","","","","","","","","","","","","","","","","5","0","0","4","","","","","0","0",""
"03-08-2025","Instagram","josecuervotequila","","","","1","1","22","169,580","0","95","0.06%","76","2","15","","2","","","","","","","","","","","","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","5","0","0","17","","","","","0","0",""
"03-09-2025","Instagram","josecuervotequila","","","","0","0","5","188,829","377","128","0.07%","103","3","20","","2","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","1","0","0","4","","","","","0","0",""
"03-10-2025","Instagram","josecuervotequila","","","","0","0","6","165,810","1,349","118","0.07%","89","4","23","","2","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","6","","","","","0","0",""
"03-11-2025","Instagram","josecuervotequila","","","","1","1","16","156,940","778","77","0.05%","59","3","12","","3","","","","","","","","","","","","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","","6","0","0","10","","","","","0","0",""
"03-12-2025","Instagram","josecuervotequila","","","","3","0","7","164,440","526","70","0.04%","53","3","13","","1","","","","","","","","","","","","0","0","0","3","0","","","","","","","","","","","","","","","","","","","","","1","0","0","6","","","","","0","0",""
"03-13-2025","Instagram","josecuervotequila","","","","1","0","5","194,983","389","99","0.05%","75","5","17","","2","","","","","","","","","","","","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","","1","0","0","4","","","","","0","0",""
"03-14-2025","Instagram","josecuervotequila","","","","0","0","7","148,613","301","66","0.04%","51","4","10","","1","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","7","","","","","0","0",""
"03-15-2025","Instagram","josecuervotequila","","","","1","1","10","151,911","243","53","0.03%","38","4","10","","1","","","","","","","","","","","","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","","3","0","0","7","","","","","0","0",""
"03-16-2025","Instagram","josecuervotequila","","","","0","0","5","158,293","201","49","0.03%","39","2","7","","1","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","1","0","0","4","","","","","0","0",""
"03-17-2025","Instagram","josecuervotequila","","","","0","0","8","166,216","170","69","0.04%","58","2","7","","2","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","8","","","","","0","0",""
"03-18-2025","Instagram","josecuervotequila","","","","0","0","7","166,140","146","41","0.02%","32","2","6","","1","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","1","0","0","6","","","","","0","0",""
"03-19-2025","Instagram","josecuervotequila","","","","0","0","6","147,921","128","32","0.02%","25","3","3","","1","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","6","","","","","0","0",""
"03-20-2025","Instagram","josecuervotequila","","","","0","0","9","130,429","109","26","0.02%","20","1","4","","1","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","9","","","","","0","0",""
"03-21-2025","Instagram","josecuervotequila","","","","0","0","6","126,078","0","20","0.02%","16","1","2","","1","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","1","0","0","5","","","","","0","0",""
"03-22-2025","Instagram","josecuervotequila","","","","0","0","3","109,192","0","13","0.01%","8","1","3","","1","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","3","","","","","0","0",""
"03-23-2025","Instagram","josecuervotequila","","","","0","0","7","114,127","0","9","0.01%","8","1","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","1","0","0","6","","","","","0","0",""
"03-24-2025","Instagram","josecuervotequila","","","","0","0","4","135,484","0","9","0.01%","7","0","2","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","4","","","","","0","0",""
"03-25-2025","Instagram","josecuervotequila","","","","0","0","11","137,440","0","6","0%","6","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","11","","","","","0","0",""
"03-26-2025","Instagram","josecuervotequila","","","","0","0","3","148,205","0","5","0%","3","1","1","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","3","","","","","0","0",""
"03-27-2025","Instagram","josecuervotequila","","","","0","0","6","132,266","0","4","0%","2","0","1","","1","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","6","","","","","0","0",""
"03-28-2025","Instagram","josecuervotequila","","","","2","1","17","186,308","0","2","0%","2","0","0","","0","","","","","","","","","","","","1","0","0","1","0","","","","","","","","","","","","","","","","","","","","","4","0","0","13","","","","","0","0",""
"03-29-2025","Instagram","josecuervotequila","","","","0","0","13","129,585","0","16","0.01%","14","2","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","13","","","","","0","0",""
"03-30-2025","Instagram","josecuervotequila","","","","0","0","12","122,875","0","43","0.03%","41","1","0","","1","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","12","","","","","0","0",""
"03-31-2025","Instagram","josecuervotequila","106,398","0","0","0","0","2","102,540","0","27","0.03%","24","1","1","","1","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","2","","","","","0","0",""
"04-01-2025","Instagram","josecuervotequila","106,398","0","0","0","0","12","67,970","0","18","0.03%","16","1","0","","1","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","8","","","","","0","0",""
"04-02-2025","Instagram","josecuervotequila","106,441","43","43","0","0","35","130,460","0","13","0.01%","12","1","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","5","","","","","0","0",""
"04-03-2025","Instagram","josecuervotequila","106,476","35","35","0","0","10","151,230","0","9","0.01%","9","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","7","","","","","0","0",""
"04-04-2025","Instagram","josecuervotequila","106,508","32","32","0","0","16","169,134","0","9","0.01%","8","0","0","","1","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","13","","","","","0","0",""
"04-05-2025","Instagram","josecuervotequila","106,552","44","44","0","0","6","177,028","0","7","0%","6","1","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","3","","","","","0","1",""
"04-06-2025","Instagram","josecuervotequila","106,585","33","33","0","0","10","152,628","0","6","0%","5","0","1","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","5","","","","","0","3",""
"04-07-2025","Instagram","josecuervotequila","106,617","32","32","0","0","41","229,971","0","4","0%","4","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","4","","","","","0","0",""
"04-08-2025","Instagram","josecuervotequila","106,665","48","48","0","0","15","464,692","0","4","0%","4","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","1","0","1","5","","","","","0","0",""
"04-09-2025","Instagram","josecuervotequila","106,709","44","44","1","0","12","393,330","0","5","0%","4","0","0","","1","","","","","","","","","","","","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","","1","0","0","5","","","","","0","1",""
"04-10-2025","Instagram","josecuervotequila","106,762","53","53","0","0","13","423,907","0","2","0%","2","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","9","","","","","0","0",""
"04-11-2025","Instagram","josecuervotequila","106,808","46","46","0","0","16","363,809","0","1","0%","0","1","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","13","","","","","0","1",""
"04-12-2025","Instagram","josecuervotequila","106,853","45","45","1","0","19","434,314","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","10","","","","","1","3",""
"04-13-2025","Instagram","josecuervotequila","106,897","44","44","0","0","18","483,991","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","7","","","","","0","4",""
"04-14-2025","Instagram","josecuervotequila","106,945","48","48","1","0","39","374,806","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","5","","","","","1","1",""
"04-15-2025","Instagram","josecuervotequila","106,992","47","47","1","0","31","367,165","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","2","","","","","1","2",""
"04-16-2025","Instagram","josecuervotequila","107,031","39","39","0","0","14","352,774","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","8","","","","","0","0",""
"04-17-2025","Instagram","josecuervotequila","107,078","47","47","0","0","16","396,762","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","12","","","","","0","1",""
"04-18-2025","Instagram","josecuervotequila","107,131","53","53","0","0","36","406,628","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","10","","","","","0","0",""
"04-19-2025","Instagram","josecuervotequila","107,178","47","47","0","0","14","375,172","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","7","","","","","0","0",""
"04-20-2025","Instagram","josecuervotequila","107,220","42","42","0","0","10","377,433","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","7","","","","","0","0",""
