"Date","Post ID","Network","Post Type","Content Type","Profile","Sent by","Link","Post","Linked Content","Impressions","Organic Impressions","Paid Impressions","Reach","Organic Reach","Paid Reach","Potential Reach","Engagement Rate (per Impression)","Engagements","Reactions","Likes","Dislikes","Love Reactions","Haha Reactions","Wow Reactions","Sad Reactions","Angry Reactions","Comments","Shares","Saves","Post Link Clicks","SproutLink Clicks","Other Post Clicks","Post Clicks (All)","Other Engagements","Subscribers Gained from Video","Annotation Clicks","Card Clicks","Video Views","Organic Video Views","Paid Video Views","Partial Video Views","Organic Partial Video Views","Paid Partial Video Views","Full Video Views","Organic Full Video Views","Paid Full Video Views","Full Video View Rate","Follow Video Views","For You Video Views","Hashtag Video Views","Business Account Video Views","Others Video Views","Search Video Views","Sound Video Views","Unspecified Video Views","Estimated Minutes Watched","Story Taps Back","Story Taps Forward","Story Exits","Story Replies","Video Added to Playlists","Subscribers Lost from Video","Video Removed from Playlists","Average Video Time Watched (Seconds)","Tags"
"1/22/2026 1:49 pm","z3qeZ-HTQC8","YouTube","Post","Video","Jose Cuervo"," ","https://www.youtube.com/watch?v=z3qeZ-HTQC8","From America's #1 Margarita Family, the new Jose Cuervo Sparkling Cocktails feature 4 delicious, 5.9% ABV, award-winning flavors made with real tequila!",,"","","","","","","","","0","0","0","0","","","","","","0","0","","","","0","","0","0","0","0","12","","","","","","","","","","","","","","","","","","3","","","","","0","0","0","",""
"1/21/2026 3:12 pm","18125071291536542","Instagram","Post","Carousel","josecuervotequila"," ","https://www.instagram.com/p/DTySNC9EY-K/","Who’s ready for another round? 👀🔥

Shots going up, cocktails flowing, and the whole crew locked in.

Save this for your next night out!",,"3,173","3,173","","1,593","1,593","","","1.92%","61","56","56","","","","","","","0","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/21/2026 11:49 am","18064147724555423","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3815089736034176056","",,"220","220","","198","198","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","147","45","0","","","","",""
"1/21/2026 11:48 am","17893163415392977","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3815089581012682809","",,"221","221","","205","205","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","201","4","0","","","","",""
"1/21/2026 11:48 am","18091929733803611","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3815089380315294127","",,"239","239","","210","210","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","207","6","0","","","","",""
"1/21/2026 11:48 am","18097249016479477","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3815089102190975857","",,"318","318","","272","272","","","0.31%","1","","","","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","198","28","0","","","","",""
"1/20/2026 11:57 am","18002476595845464","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3814369113150478295","",,"1,465","1,465","","1,095","1,095","","","0.14%","2","","","","","","","","","0","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","276","70","0","","","","",""
"1/20/2026 9:04 am","18100749430894072","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3814282100267219440","It’s been a long week (It’s Tuesday)",,"335","335","","302","302","","","0.3%","1","","","","","","","","","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","280","20","1","","","","",""
"1/20/2026 8:39 am","18091933474792738","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3814269270889474330","",,"360","360","","303","303","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","308","6","0","","","","",""
"1/20/2026 8:38 am","18103844668761988","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3814269183731834079","",,"545","545","","482","482","","","0.55%","3","","","","","","","","","0","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","315","11","0","","","","",""
