"Date","Post ID","Network","Post Type","Content Type","Profile","Link","Post","Linked Content","Public Engagements","Reactions","Comments","Shares"
"3/4/2026 5:15 pm","18124628053567801","Instagram","Reel","Video","donjuliotequila","https://www.instagram.com/reel/DVeptMNEkOk/","Award season is in full swing, and Don Julio keeps on flowing. This time, we celebrated the best of Spanish cinema at the academiadecine—raising a glass to the stories, performances and moments that last long after the credits roll.
.
.
La temporada de premios está en pleno apogeo y Don Julio sigue presente en cada brindis. Esta vez celebramos lo mejor del cine español en la academiadecine, donde brindamos por las historias, las actuaciones y los momentos que se quedan con nosotros mucho después de los créditos finales.","","223","218","5",""
"12/16/2025 2:57 pm","18113643169589906","Instagram","Reel","Video","casamigos","https://www.instagram.com/reel/DSVjy5eipUB/","Deck the halls… with margs 🍋‍🟩🎄​
Anything Goes With My Casamigos","","221","213","8",""
"12/21/2025 1:02 pm","18050744357422707","Instagram","Reel","Video","casamigos","https://www.instagram.com/reel/DSiOnJBgX1F/","First day of winter. Same smooth pour - always 100% Blue Weber Agave.","","219","216","3",""
"10/1/2025 12:57 pm","18100225288651055","Instagram","Reel","Video","casamigos","https://www.instagram.com/reel/DPRi0h9FOuz/","International Coffee Day calls for Espresso Martinis. We've got you covered.
 
Cristalino Espresso Martini
1.5 oz Casamigos Cristalino Tequila
.75 oz Freshly Brewed Espresso
1 oz Spiced Vanilla Liqueur
.5 oz Coffee Liqueur (Suggest MrBlack®)
3 Dashes Chocolate Bitters
Garnish Cocoa Dusting
 
Combine all ingredients into a tin shaker. Add ice, shake vigorously and strain into a chilled martini or coupe glass and garnish.","","218","210","8",""
"1/13/2026 3:12 pm","17953957658920562","Instagram","Reel","Video","casamigos","https://www.instagram.com/reel/DTdrzf7iBvE/","Our winter cocktail lineup starts here. 
Find the recipes at the link in bio 🥃","","218","208","10",""
"12/7/2025 3:00 pm","18117530083499260","Instagram","Reel","Video","casamigos","https://www.instagram.com/reel/DR-ZGsyjNKz/","Wish it were this easy to get a Casa drink to sip…","","211","192","19",""
"11/22/2025 10:35 am","17860073013544357","Instagram","Post","Carousel","patron","https://www.instagram.com/p/DRXSOs1jlvN/","Enjoy your friendsgiving dinners tonight.
 
#PATRONTequila #Friendsgiving","","211","210","1",""
"10/12/2025 7:19 pm","18399920200142063","Instagram","Post","Carousel","espolontequila","https://www.instagram.com/p/DPujW5Hj5Us/","The only red flag we trust? A Bloody María. Don’t argue. Just swipe.❤️‍🔥","","208","204","4",""
"10/29/2025 1:11 pm","18072393941463772","Instagram","Reel","Video","espolontequila","https://www.instagram.com/reel/DQZqqDHD_2N/","Espolòn x danyboydoid – two rebellious hearts, one shared canvas. From his sketchbook to the streets, Daniel’s art channels the bold, unapologetic spirit of Mexico that lives inside every bottle. ☠️🌶️","","205","186","19",""
"10/21/2025 11:52 am","18066044006528370","Instagram","Post","Photo","casamigos","https://www.instagram.com/p/DQE7Up2kffb/","Smoky, spooky and all Casamigos 👻 
Celebrate National Mezcal Day with the Smoky Casa Margarita - explore all our mezcal cocktails via link in bio.","","202","197","5",""
