"Date","Post ID","Network","Post Type","Content Type","Profile","Link","Post","Linked Content","Public Engagements","Reactions","Comments","Shares"
"1/23/2026 2:16 pm","18087987602025798","Instagram","Post","Carousel","donjuliotequila","https://www.instagram.com/p/DT3Va9XFE5u/","Ring in Lunar New Year with Don Julio 1942. Six signature cocktails crafted by renowned mixologists across Asia.

thanachot_lo, World Class ‘25 Thailand winner  
lokcheung_, Bar Manager at COA Hong Kong
litonglttt World Class China ‘24 judge 
hsukepau, World Class ‘23 Champion 
tryson.quek, World Class ‘25 Singapore 
winner  
ralph_allen_santos, World Class 
‘25 Philippines winner
.
.
Celebra el Año Nuevo Lunar con Don Julio 1942. Seis cócteles de autor, creados por los mejores bartenders en Asia.","","883","870","13",""
"1/28/2026 1:17 pm","17890215390288477","Instagram","Reel","Video","casamigos","https://www.instagram.com/reel/DUEGXFMjjTb/","#ad From Main Street to margaritas - we took over Park City during the Sundance Film Festival.
Anything Goes With My Casamigos, with Casamigos Correspondent notskinnybutnotfat

Enjoy responsibly. Diageo New York, NY. Don't share with anyone under 21 years old.","","879","855","24",""
"10/24/2025 2:27 pm","18343410781200349","Instagram","Post","Carousel","patron","https://www.instagram.com/p/DQM7feFDgDu/","Photo finish 🏁
Cheers to everyone who celebrated with a PATRÓN Citrus Circuit at cota_official last weekend. 

#PATRONTequila #PATRONCitrusCircuit #COTA","","875","864","11",""
"12/9/2025 3:00 pm","18426036181118288","Instagram","Post","Carousel","patron","https://www.instagram.com/p/DSDisadiYZQ/","Share a bottle of PATRÓN this holiday season.

#PATRONTequila","","874","862","12",""
"11/1/2025 2:59 pm","18025249916757414","Instagram","Reel","Video","drink818","https://www.instagram.com/reel/DQhkzGuEn0K/","Fireside with 818 Reposado","","866","841","25",""
"12/16/2025 4:29 pm","18540306316047806","Instagram","Reel","Video","drink818","https://www.instagram.com/reel/DSVuaEVEo_1/","The 818 Dirty-Chai Tini by mariiismith 

COCKTAIL RECIPE:
- 3 OZ 818 Tequila Reposado
- .25 OZ Agave Syrup
- 1/3 Cup Chai Tea, cooled
- 1/3 Cup Coffee or Espresso, cooled
- 1 OZ Milk or Milk Substitute (oat or coconut milk)
- Cocoa Powder, unsweetened, (garnish)

SPICED WHIP RECIPE:
- 1/3 Cup Heavy Cream
- 1/4 TSP Ground Cinnamon
- 1/8 TSP Ground Cardamom
- 1/8 TSP Ground Ginger
- 2 TBSP Confectioners Sugar

SPICED WHIP PREP:
1. In a chilled bowl with an electric mixer, combine ingredients and mix together until stiff peaks form. 

COCKTAIL PREP: 
1. Combine all ingredients into a shaker tin filled with ice.
2. Shake vigorously until the outside of the tin is frosty cold. 
3. Strain, top with spiced whip and dust with cocoa powder.","","849","814","35",""
"1/1/2026 12:00 pm","18185809219349270","Instagram","Reel","Video","donjuliotequila","https://www.instagram.com/reel/DS-cUgFkWKK/","From launch parties to catwalks and the biggest cultural events of the year, 2025 was filled with good times and extraordinary tequila. Where will Don Julio go next in 2026?
.
.
Desde fiestas de lanzamiento a las pasarelas y los eventos culturales más importantes del año, 2025 estuvo lleno de buenos momentos y excelente tequila. ¿A dónde irá Don Julio en el 2026?","","839","818","21",""
"11/27/2025 12:22 pm","17881226946423162","Instagram","Reel","Video","drink818","https://www.instagram.com/reel/DRkXADmDwwP/","Happy Thanksgiving from our 818 family to yours💚","","830","792","38",""
"1/13/2026 4:00 pm","18092318678479062","Instagram","Post","Carousel","patron","https://www.instagram.com/p/DTdxU3OD8B-/","You can’t miss the sophisticated taste of Silver.

#PATRONTequila #PATRONSilver","","823","813","10",""
"11/28/2025 3:01 pm","18387155050150140","Instagram","Reel","Video","casamigos","https://www.instagram.com/reel/DRnODm1jpUb/","Because post-Friendsgiving catch-ups deserve Casamigos.","","806","802","4",""
