"Date","Network","Profile","Audience","Net Audience Growth","Published Posts","Public Engagements","Public Engagements per Post","% Audience Growth","Published Carousels","Published Videos","Published Photos","Published Links","Published Text","Reactions","Comments","Shares","Top Hashtags by Lifetime Public Engagements"
"01-07-2026","Instagram","donjuliotequila","","","","","","","","","","","","","","",""
"01-07-2026","Instagram","drink818","1,190,324","-63","1","1,528","1,528","-0.0053%","1","0","0","0","0","1,482","46","0",""
"01-07-2026","Instagram","espolontequila","65,540","-1","0","0","0","-0.0015%","0","0","0","0","0","0","0","0",""
"01-07-2026","Instagram","patron","436,662","-6","0","0","0","-0.0014%","0","0","0","0","0","0","0","0",""
"01-07-2026","Instagram","teremana","775,526","-55","0","0","0","-0.0071%","0","0","0","0","0","0","0","0",""
"01-08-2026","Facebook","Jose Cuervo","841,352","-26","0","0","0","-0.0031%","","0","0","0","0","0","0","0",""
"01-08-2026","Instagram","josecuervotequila","111,784","-18","0","0","0","-0.0161%","","0","0","0","0","0","0","0",""
"01-08-2026","Instagram","1800tequila","","","","","","","","","","","","","","",""
"01-08-2026","Instagram","casamigos","294,213","0","0","0","0","0.0000%","0","0","0","0","0","0","0","0",""
"01-08-2026","Instagram","donjuliotequila","","","","","","","","","","","","","","",""
"01-08-2026","Instagram","drink818","1,190,041","-283","1","2,760","2,760","-0.0238%","1","0","0","0","0","2,673","87","0",""
"01-08-2026","Instagram","espolontequila","65,537","-3","1","116","116","-0.0046%","0","0","1","0","0","90","26","0",""
"01-08-2026","Instagram","patron","436,621","-41","0","0","0","-0.0094%","0","0","0","0","0","0","0","0",""
"01-08-2026","Instagram","teremana","775,399","-127","0","0","0","-0.0164%","0","0","0","0","0","0","0","0",""
"01-09-2026","Facebook","Jose Cuervo","841,335","-17","1","10","10","-0.0020%","0","0","1","0","0","9","1","0",""
"01-09-2026","Instagram","josecuervotequila","111,780","-4","1","62","62","-0.0036%","1","0","0","0","0","59","3","0",""
"01-09-2026","Instagram","1800tequila","","","","","","","","","","","","","","",""
"01-09-2026","Instagram","casamigos","294,214","1","1","112","112","0.0003%","0","0","1","0","0","111","1","0",""
"01-09-2026","Instagram","donjuliotequila","","","","","","","","","","","","","","",""
"01-09-2026","Instagram","drink818","1,190,069","28","0","0","0","0.0024%","0","0","0","0","0","0","0","0",""
"01-09-2026","Instagram","espolontequila","65,529","-8","1","264","264","-0.0122%","0","1","0","0","0","251","13","0",""
"01-09-2026","Instagram","patron","436,609","-12","0","0","0","-0.0027%","0","0","0","0","0","0","0","0",""
"01-09-2026","Instagram","teremana","775,349","-50","1","238","238","-0.0064%","0","1","0","0","0","206","32","0",""
"01-10-2026","Facebook","Jose Cuervo","841,316","-19","0","0","0","-0.0023%","","0","0","0","0","0","0","0",""
"01-10-2026","Instagram","josecuervotequila","111,777","-3","0","0","0","-0.0027%","","0","0","0","0","0","0","0",""
"01-10-2026","Instagram","1800tequila","","","","","","","","","","","","","","",""
"01-10-2026","Instagram","casamigos","294,224","10","0","0","0","0.0034%","0","0","0","0","0","0","0","0",""
"01-10-2026","Instagram","donjuliotequila","","","","","","","","","","","","","","",""
"01-10-2026","Instagram","drink818","1,189,974","-95","1","1,316","1,316","-0.0080%","1","0","0","0","0","1,251","65","0",""
"01-10-2026","Instagram","espolontequila","65,506","-23","0","0","0","-0.0351%","0","0","0","0","0","0","0","0",""
"01-10-2026","Instagram","patron","436,597","-12","0","0","0","-0.0027%","0","0","0","0","0","0","0","0",""
"01-10-2026","Instagram","teremana","775,200","-149","0","0","0","-0.0192%","0","0","0","0","0","0","0","0",""
"01-11-2026","Facebook","Jose Cuervo","841,299","-17","0","0","0","-0.0020%","","0","0","0","0","0","0","0",""
"01-11-2026","Instagram","josecuervotequila","111,781","4","0","0","0","0.0036%","","0","0","0","0","0","0","0",""
"01-11-2026","Instagram","1800tequila","","","","","","","","","","","","","","",""
"01-11-2026","Instagram","casamigos","294,228","4","0","0","0","0.0014%","0","0","0","0","0","0","0","0",""
"01-11-2026","Instagram","donjuliotequila","","","","","","","","","","","","","","",""
"01-11-2026","Instagram","drink818","1,189,908","-66","0","0","0","-0.0055%","0","0","0","0","0","0","0","0",""
"01-11-2026","Instagram","espolontequila","65,501","-5","0","0","0","-0.0076%","0","0","0","0","0","0","0","0",""
"01-11-2026","Instagram","patron","436,597","0","0","0","0","0.0000%","0","0","0","0","0","0","0","0",""
"01-11-2026","Instagram","teremana","775,166","-34","1","193","193","-0.0044%","0","1","0","0","0","187","6","0",""
"01-12-2026","Facebook","Jose Cuervo","841,284","-15","0","0","0","-0.0018%","","0","0","0","0","0","0","0",""
"01-12-2026","Instagram","josecuervotequila","111,759","-22","0","0","0","-0.0197%","","0","0","0","0","0","0","0",""
"01-12-2026","Instagram","1800tequila","","","","","","","","","","","","","","",""
"01-12-2026","Instagram","casamigos","294,250","22","0","0","0","0.0075%","0","0","0","0","0","0","0","0",""
"01-12-2026","Instagram","donjuliotequila","","","","","","","","","","","","","","",""
"01-12-2026","Instagram","drink818","1,189,893","-15","0","0","0","-0.0013%","0","0","0","0","0","0","0","0",""
"01-12-2026","Instagram","espolontequila","65,497","-4","0","0","0","-0.0061%","0","0","0","0","0","0","0","0",""
"01-12-2026","Instagram","patron","436,555","-42","1","571","571","-0.0096%","0","0","1","0","0","564","7","0","#PATRÓNTequila, #PATRÓNReposado"
"01-12-2026","Instagram","teremana","775,030","-136","0","0","0","-0.0175%","0","0","0","0","0","0","0","0",""
"01-13-2026","Facebook","Jose Cuervo","841,276","-8","0","0","0","-0.0010%","","0","0","0","0","0","0","0",""
"01-13-2026","Instagram","josecuervotequila","111,781","22","0","0","0","0.0197%","","0","0","0","0","0","0","0",""
"01-13-2026","Instagram","1800tequila","","","","","","","","","","","","","","",""
"01-13-2026","Instagram","casamigos","294,230","-20","1","200","200","-0.0068%","0","1","0","0","0","191","9","0",""
"01-13-2026","Instagram","donjuliotequila","","","","","","","","","","","","","","",""
"01-13-2026","Instagram","drink818","1,189,815","-78","0","0","0","-0.0066%","0","0","0","0","0","0","0","0",""
"01-13-2026","Instagram","espolontequila","65,493","-4","0","0","0","-0.0061%","0","0","0","0","0","0","0","0",""
"01-13-2026","Instagram","patron","436,545","-10","1","821","821","-0.0023%","1","0","0","0","0","811","10","0","#PATRONTequila, #PATRONSilver"
"01-13-2026","Instagram","teremana","774,950","-80","0","0","0","-0.0103%","0","0","0","0","0","0","0","0",""
"01-14-2026","Facebook","Jose Cuervo","841,258","-18","0","0","0","-0.0021%","","0","0","0","0","0","0","0",""
"01-14-2026","Instagram","josecuervotequila","111,792","11","0","0","0","0.0098%","","0","0","0","0","0","0","0",""
"01-14-2026","Instagram","1800tequila","","","","","","","","","","","","","","",""
"01-14-2026","Instagram","casamigos","294,261","31","0","0","0","0.0105%","0","0","0","0","0","0","0","0",""
"01-14-2026","Instagram","donjuliotequila","","","","","","","","","","","","","","",""
"01-14-2026","Instagram","drink818","1,189,772","-43","0","0","0","-0.0036%","0","0","0","0","0","0","0","0",""
"01-14-2026","Instagram","espolontequila","65,511","18","0","0","0","0.0275%","0","0","0","0","0","0","0","0",""
"01-14-2026","Instagram","patron","436,525","-20","0","0","0","-0.0046%","0","0","0","0","0","0","0","0",""
"01-14-2026","Instagram","teremana","774,881","-69","0","0","0","-0.0089%","0","0","0","0","0","0","0","0",""
"01-15-2026","Facebook","Jose Cuervo","841,239","-19","1","4","4","-0.0023%","0","0","1","0","0","3","0","1",""
"01-15-2026","Instagram","josecuervotequila","111,770","-22","1","48","48","-0.0197%","1","0","0","0","0","48","0","3",""
"01-15-2026","Instagram","1800tequila","","","","","","","","","","","","","","",""
"01-15-2026","Instagram","casamigos","294,257","-4","0","0","0","-0.0014%","0","0","0","0","0","0","0","0",""
"01-15-2026","Instagram","donjuliotequila","","","","","","","","","","","","","","",""
"01-15-2026","Instagram","drink818","1,189,562","-210","0","0","0","-0.0177%","0","0","0","0","0","0","0","0",""
"01-15-2026","Instagram","espolontequila","65,526","15","0","0","0","0.0229%","0","0","0","0","0","0","0","0",""
"01-15-2026","Instagram","patron","436,479","-46","1","2,497","2,497","-0.0105%","1","0","0","0","0","2,421","76","0","#PATRONxGRAMMYS, #PATRONTequila, #PATRONELALTO"
"01-15-2026","Instagram","teremana","774,711","-170","0","0","0","-0.0219%","0","0","0","0","0","0","0","0",""
"01-16-2026","Facebook","Jose Cuervo","841,223","-16","0","0","0","-0.0019%","","0","0","0","0","0","0","0",""
"01-16-2026","Instagram","josecuervotequila","111,741","-29","0","0","0","-0.0259%","","0","0","0","0","0","0","0",""
"01-16-2026","Instagram","1800tequila","","","","","","","","","","","","","","",""
"01-16-2026","Instagram","casamigos","294,219","-38","0","0","0","-0.0129%","0","0","0","0","0","0","0","0",""
"01-16-2026","Instagram","donjuliotequila","","","","","","","","","","","","","","",""
"01-16-2026","Instagram","drink818","1,189,329","-233","0","0","0","-0.0196%","0","0","0","0","0","0","0","0",""
"01-16-2026","Instagram","espolontequila","65,519","-7","1","232","232","-0.0107%","0","0","1","0","0","219","13","0",""
"01-16-2026","Instagram","patron","436,576","97","0","0","0","0.0222%","0","0","0","0","0","0","0","0",""
"01-16-2026","Instagram","teremana","774,507","-204","0","0","0","-0.0263%","0","0","0","0","0","0","0","0",""
"01-17-2026","Facebook","Jose Cuervo","841,202","-21","1","0","0","-0.0025%","0","0","1","0","0","0","0","0",""
"01-17-2026","Instagram","josecuervotequila","111,756","15","1","37","37","0.0134%","0","0","1","0","0","36","1","0",""
"01-17-2026","Instagram","1800tequila","","","","","","","","","","","","","","",""
"01-17-2026","Instagram","casamigos","294,269","50","0","0","0","0.0170%","0","0","0","0","0","0","0","0",""
