"Date","Instagram Profile","Followers","Net Follower Growth","Published Posts & Reels","Public Engagements","Public Engagements per Post","% Follower Growth","Published Carousels","Published Videos","Published Photos","Likes","Comments","Top Hashtags by Lifetime Public Engagements"
"10-06-2025","patron","430,771","3","0","0","0","0.0007%","0","0","0","0","0",""
"10-06-2025","tequilacazadores","37,900","2","0","0","0","0.0053%","0","0","0","0","0",""
"10-06-2025","teremana","779,183","-38","0","0","0","-0.0049%","0","0","0","0","0",""
"10-07-2025","josecuervotequila","111,002","-14","1","80","80","-0.0126%","0","1","0","70","10","#thetequilathatinventedtequila, #NationalTacoDay"
"10-07-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-07-2025","casamigos","289,697","69","0","0","0","0.0238%","0","0","0","0","0",""
"10-07-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-07-2025","drink818","1,190,384","-63","0","0","0","-0.0053%","0","0","0","0","0",""
"10-07-2025","eljimadortequila","","","1","92","92","","0","0","1","92","0","#tacotuesday, #nationaltacoday, #eljimadortequila"
"10-07-2025","espolontequila","64,100","28","0","0","0","0.0437%","0","0","0","0","0",""
"10-07-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-07-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-07-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-07-2025","patron","430,750","-21","0","0","0","-0.0049%","0","0","0","0","0",""
"10-07-2025","tequilacazadores","37,899","-1","0","0","0","-0.0026%","0","0","0","0","0",""
"10-07-2025","teremana","779,082","-101","0","0","0","-0.0130%","0","0","0","0","0",""
"10-08-2025","josecuervotequila","111,013","11","1","94","94","0.0099%","0","1","0","88","6",""
"10-08-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-08-2025","casamigos","289,684","-13","0","0","0","-0.0045%","0","0","0","0","0",""
"10-08-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-08-2025","drink818","1,190,309","-75","0","0","0","-0.0063%","0","0","0","0","0",""
"10-08-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-08-2025","espolontequila","64,142","42","1","616","616","0.0655%","0","1","0","592","24","#espolontequila, #drinkresponsibly, #Ad21"
"10-08-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-08-2025","lunazultequila","","","1","82","82","","0","0","1","78","4",""
"10-08-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-08-2025","patron","430,744","-6","0","0","0","-0.0014%","0","0","0","0","0",""
