"Date","Post ID","Network","Post Type","Content Type","Profile","Sent by","Link","Post","Linked Content","Impressions","Organic Impressions","Paid Impressions","Reach","Organic Reach","Paid Reach","Potential Reach","Engagement Rate (per Impression)","Engagements","Reactions","Likes","Dislikes","Love Reactions","Haha Reactions","Wow Reactions","Sad Reactions","Angry Reactions","Comments","Shares","Saves","Post Link Clicks","SproutLink Clicks","Other Post Clicks","Post Clicks (All)","Other Engagements","Subscribers Gained from Video","Annotation Clicks","Card Clicks","Video Views","Organic Video Views","Paid Video Views","Partial Video Views","Organic Partial Video Views","Paid Partial Video Views","Full Video Views","Organic Full Video Views","Paid Full Video Views","Full Video View Rate","Follow Video Views","For You Video Views","Hashtag Video Views","Business Account Video Views","Others Video Views","Search Video Views","Sound Video Views","Unspecified Video Views","Estimated Minutes Watched","Story Taps Back","Story Taps Forward","Story Exits","Story Replies","Video Added to Playlists","Subscribers Lost from Video","Video Removed from Playlists","Average Video Time Watched (Seconds)","Tags"
"2/14/2026 3:01 pm","17941121439137449","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3832581202327332098","",,"296","296","","256","256","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","231","10","0","","","","",""
"2/14/2026 3:01 pm","18047358605502116","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3832581108668506147","",,"299","299","","261","261","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","255","10","0","","","","",""
"2/14/2026 3:01 pm","17848600614642838","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3832581047993756611","",,"344","344","","268","268","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","267","7","0","","","","",""
"2/14/2026 3:01 pm","18094358998799375","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3832580929991165013","",,"613","613","","468","468","","","0.33%","2","","","","","","","","","0","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","328","37","0","","","","",""
"2/13/2026 5:49 pm","17863875429585275","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3831941039616125107","",,"392","392","","320","320","","","0.26%","1","","","","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","126","44","0","","","","",""
"2/13/2026 5:48 pm","17939251778996267","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3831940488987914951","",,"238","238","","185","185","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","190","15","0","","","","",""
"2/13/2026 5:48 pm","18121172350605142","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3831940222146293525","",,"254","254","","189","189","","","0.39%","1","","","","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","203","6","0","","","","",""
"2/13/2026 5:47 pm","18037387442685440","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3831939965354237248","",,"591","591","","473","473","","","0.34%","2","","","","","","","","","0","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","206","7","0","","","","",""
"2/13/2026 5:45 pm","18085059335238307","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3831938774842962112","",,"239","239","","199","199","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","207","9","0","","","","",""
"2/13/2026 5:45 pm","18093642761081632","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3831938722196037134","",,"238","238","","203","203","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","208","5","0","","","","",""
"2/13/2026 5:44 pm","18097295702289861","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3831938247862222896","",,"254","254","","215","215","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","212","9","0","","","","",""
"2/13/2026 5:43 pm","18132809194506680","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3831937618934712524","",,"314","314","","277","277","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","205","31","0","","","","",""
"2/12/2026 9:29 pm","18058201868348309","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3831326925956846024","'@tequilatownmiami",,"221","221","","196","196","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","166","27","0","","","","",""
"2/12/2026 9:28 pm","18075477194103655","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3831326416978082422","'@tequilatownmiami  @tequilatownmiami",,"223","223","","203","203","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","189","9","0","","","","",""
"2/12/2026 9:27 pm","18118827802521940","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3831326025959898533","'@tequilatownmiami",,"240","240","","211","211","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","193","3","0","","","","",""
"2/12/2026 9:26 pm","18143423029422365","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3831325465047204048","'@tequilatownmiami",,"281","281","","242","242","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","199","14","0","","","","",""
"2/12/2026 1:22 pm","18302341960277235","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3831081855215461930","",,"208","208","","188","188","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","174","15","0","","","","",""
"2/12/2026 1:22 pm","18109439863677717","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3831081820142678125","",,"331","331","","301","301","","","0.3%","1","","","","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","188","1","0","","","","",""
