brand,platform,post_date,post_type,post_url,content_pillar,content_mix_funnel,collaboration,likes,comments,shares,saves,views,caption_text,hashtags,post_time,video_length_seconds,impressions,total_engagement,caption_word_count,creator_handle,has_creator_collab,is_paid_partnership
Devils Reserve,Instagram,2025-07-18,Static Image,https://www.instagram.com/p/DMQtv58O_s1/,The Sweet Heat,,Devils Reserve,44,2,18,8,0,"This ain’t your average marg 🌶️

It's sweet, spicy, tropical, and just dangerous enough to call on the Devil himself! #mischiefinaglass",,7/18/2025 3:39 pm,,"6,991",72,21.0,,,
Devils Reserve,Instagram,2025-07-20,Carousel,https://www.instagram.com/p/DMWPYnrux7j/,The Diablito Made Me Do It,,Devils Reserve,32,0,0,2,0,"😈 👯‍♀️ 🥃 From bold sips to unforgettable moments, Devil’s Reserve was the spot to stir up a little mischief all festival long!

Tag your chaos crew… next round’s on us! ⬇️",,7/20/2025 7:09 pm,,"6,497",34,32.0,,,
Devils Reserve,Instagram,2025-07-21,Static Image,https://www.instagram.com/p/DMZOtYZRcKj/,The Diablito Made Me Do It,,Partner,323,27,13,2,0,"feeling spicyyy? 🌶️ be sure to check out @devilsreserve pop-up for a range of games, drinks, n prizes 😈",,,,,365,19.0,,,
Devils Reserve,Instagram,2025-08-07,Reel,https://www.instagram.com/reel/DNEFMYYqRFQ/,The Diablito Made Me Do It,,Devils Reserve,28,4,1,0,797,"The Devil hit NASCAR and didn’t lift off the gas 🔥
Bar. Games. Chaos. Were you there or do you wish you were?

👇 Drop your favorite Devils Reserve moment below
@nascarchicago",,8/7/2025 2:25 pm,,797,33,32.0,,,
Devils Reserve,Instagram,2025-08-11,Carousel,https://www.instagram.com/p/DNN0bn7sEdf/,The Diablito Made Me Do It,,Devils Reserve,17,2,0,0,0,"Back like we never behaved 😈🥃

Meet Devil’s Reserve™ the tequila with a sweet heat and a wild side.

If you’re looking for ordinary… keep walking.

@voss.visuals @breakaway",,8/11/2025 9:11 am,,"6,930",19,28.0,,,
Devils Reserve,Instagram,2025-08-14,Reel,https://www.instagram.com/reel/DNWDrThx9XT/,The Diablito Made Me Do It,,Devils Reserve,26,2,10,1,"1,185","When you miss your dog… but Devil’s Reserve is the only one who gets you 🐶

Share this with someone who’ll drink with you no matter the occasion!",,8/14/2025 1:59 pm,,"1,185",39,28.0,,,
Devils Reserve,Instagram,2025-08-19,Reel,https://www.instagram.com/p/DNjKsu2SdBH/,The Diablito Made Me Do It,,Partner,544,10,14,0,0,Made a little commotion last weekend in Michigan with @devilsreserve,,,,,568,10.0,,,
Devils Reserve,Instagram,2025-08-19,Carousel,https://www.instagram.com/p/DNjXWWGthUM/,The Diablito Made Me Do It,,Devils Reserve,11,1,0,0,0,"Toss your halo… if you ever had one 😈🔁🥃

Step right up, aim for the bottle, and take a shot of sweet heat!

#devilsreserve #chaostour #tossyourhalo #festivals #drinkifudare @voss.visuals @breakaway",,8/19/2025 6:00 pm,,"11,055",12,30.0,,,
Devils Reserve,Instagram,2025-08-22,Reel,https://www.instagram.com/reel/DNq2J-Si3ub/,The Diablito Made Me Do It,,Devils Reserve,25,3,4,2,"1,997","You're not just here for the train… you’re here for the Devils Reserve too!
The Devil knows. We know. Now share this with someone who gets it 🚂🔥",,8/22/2025 3:44 pm,,"1,997",34,28.0,,,
Devils Reserve,Instagram,2025-08-24,Carousel,https://www.instagram.com/p/DNvZo5t6KsH/,The Diablito Made Me Do It,,Devils Reserve,19,0,0,0,0,"Miss the halo. Win the shot. Sounds about right 😇

Save this post and tap the link in bio to find Devil’s Reserve near you!
@breakaway @kursza",,8/24/2025 10:11 am,,"13,054",19,27.0,,,
Devils Reserve,Instagram,2025-08-28,Reel,https://www.instagram.com/reel/DN6I_A_EsBI/,The Sweet Heat,,Devils Reserve,38,4,11,3,"1,575","The Devil’s Reserve soda is the easiest way to start trouble 😏
Comment “🔥” if you’re having Devils Reserve tonight.",,8/28/2025 2:18 pm,,"1,575",56,20.0,,,
Devils Reserve,Instagram,2025-09-02,Carousel,https://www.instagram.com/p/DOHZUWMDjxg/,The Diablito Made Me Do It,,Devils Reserve,21,1,2,0,0,"One shot? Cute. Real ones bring the whole Devils Reserve shotski 😈

Tag your crew below and tell us who’s holding the shotski with you!",,9/2/2025 5:50 pm,,"10,491",24,25.0,,,
Devils Reserve,Instagram,2025-09-05,Reel,https://www.instagram.com/reel/DOO499wDt1y/,The Sweet Heat,,Devils Reserve,33,0,30,5,"1,150","One part sweet, tropical, spicy and all parts trouble!

Tag someone who needs this recipe in their rotation 🍹and check out the link in bio for more recipes!",,9/5/2025 3:41 pm,,"1,150",68,28.0,,,
Devils Reserve,Instagram,2025-09-07,Reel,https://www.instagram.com/p/DOTiwALETtD/,The Diablito Made Me Do It,,Partner,167,10,55,0,0,"They said it, not us 👀",,,,,232,6.0,,,
Devils Reserve,Instagram,2025-09-08,Static Image,https://www.instagram.com/p/DOV3tTWCdQr/,The Diablito Made Me Do It,,Devils Reserve,23,0,0,2,0,"Who runs the party? Devils do 😈

Send this to the girl who keeps your festival game strong!
@voss.visuals @breakaway",,9/8/2025 8:45 am,,"11,456",25,20.0,,,
Devils Reserve,Instagram,2025-09-11,Carousel,https://www.instagram.com/p/DOeKuaiCWzi/,The Diablito Made Me Do It,,Devils Reserve,18,0,0,2,0,"You take the shot. You hit the bell. 
The Devils game 😈

💥 Comment if you’d ring it or chicken out.",,9/11/2025 2:05 pm,,"11,362",20,21.0,,,
Devils Reserve,Instagram,2025-09-13,Reel,https://www.instagram.com/p/DOkD-ANiayy/,The Diablito Made Me Do It,,Partner,421,2,24,0,0,"I mean, can you blame us? @devilsreserve 😈",,,,,447,8.0,,,
Devils Reserve,Instagram,2025-09-25,Reel,https://www.instagram.com/reel/DPCUrwtiAFE/,The Sweet Heat,,Devils Reserve,36,5,14,3,"1,482","Start your day (or extend your night) with the Devil’s Reserve Sunrise! 🌅 🥃 A bold mix of sweet, tropical, spicy and golden hour vibes.

Find the full recipe in the link in bio 👀",,9/25/2025 3:06 pm,,"1,482",58,35.0,,,
Devils Reserve,Instagram,2025-09-26,Reel,https://www.instagram.com/p/DPEy9YOAKCK/,The Diablito Made Me Do It,,Influencer,833,29,48,60,0,i may or may not have had a summer fling with the devil… 😙 @devilsreserve #drpartner,,,,,970,16.0,,,
Devils Reserve,Instagram,2025-09-27,Carousel,https://www.instagram.com/p/DPG-msjDOoo/,The Diablito Made Me Do It,,Devils Reserve,33,8,2,0,0,"If you see us out there, don’t just walk by… Come raise a little hell, take the shot, and make a festival memory you will  never forget!

📍If you snap a pic with Devil’s Reserve, Tag us so we can share!

@breakaway @kursza",,9/27/2025 10:28 am,,"12,299",43,43.0,,,
Devils Reserve,Instagram,2025-09-30,Static Image,https://www.instagram.com/p/DPPUup-ESDr/,The Sweet Heat,,Devils Reserve,32,18,0,0,0,"We keep the drinks devilish and the vibes up at any event we go to! 

Make sure to swing by, play some games, and have a Devil’s drink with us 😈

@voss.visuals @breakaway",,9/30/2025 4:15 pm,,"12,218",50,33.0,,,
Devils Reserve,Instagram,2025-10-02,Carousel,https://www.instagram.com/p/DPUQrd8E5Xa/,The Sweet Heat,,Devils Reserve,45,33,1,0,0,"There’s tequila... and then there’s Devil’s Reserve.
Crafted for the bold. Poured for the ones who know how to turn it all the way up.

If you know, you know 😈",,10/2/2025 2:16 pm,,"12,528",79,31.0,,,
Devils Reserve,Instagram,2025-10-07,Reel,https://www.instagram.com/reel/DPhcGytD0-m/,The Sweet Heat,,Devils Reserve,76,73,14,2,"1,629","The Devil’s Soda is your new go-to! Just 3 ingredients, full recipe at the link in bio… If you dare!

Sweet, tropical, spicy, and dangerously easy to make 😈 🥃",,10/7/2025 5:06 pm,,"1,629",165,30.0,,,
Devils Reserve,Instagram,2025-10-09,Carousel,https://www.instagram.com/p/DPmT9IODZA8/,Hell on Wheels,,Devils Reserve,128,157,1,0,0,"The Devil knows how to ride in style 😉 If you see it out, snap a pic and tag us!",,10/9/2025 2:31 pm,,"11,425",286,20.0,,,
Devils Reserve,Instagram,2025-10-13,Reel,https://www.instagram.com/reel/DPw9rG2iSwA/,The Diablito Made Me Do It,,Devils Reserve,135,158,5,2,"1,521","Raise a little hell, play with a little mischief 🔥 Devil’s Reserve knows how to turn a night upside down!

Send this reel to a friend who can handle the chaos and would crush anyone playing our games 👹",,10/13/2025 5:49 pm,,"1,521",300,39.0,,,
Devils Reserve,Instagram,2025-10-15,Carousel,https://www.instagram.com/p/DP1s8nGCQ87/,The Sweet Heat,,Devils Reserve,121,163,8,1,0,"Devil’s Reserve was born from a deal between Cuervo and the Devil himself… smooth, spicy, and made for those who don’t play it safe! 

Drop a 🖤 in the comments if you’re ready to raise a little hell. @breakaway @kursza",,10/15/2025 1:58 pm,,"7,963",293,40.0,,,
Devils Reserve,Instagram,2025-10-15,Reel,https://www.instagram.com/p/DP12TA9Ehkb/,The Diablito Made Me Do It,,Partner,0,173,0,0,0,"Us before a @devilsreserve marg: ☹️ after: 😈

Anyone else get a little devilish with @devilsreserve in NorCal last weeknd?",,,,,173,20.0,,,
Devils Reserve,Instagram,2025-10-20,Carousel,https://www.instagram.com/p/DQDBxkQjCSM/,The Sweet Heat,,Devils Reserve,130,179,3,2,0,"Looking for a spooky drink for this Halloween szn?! Sweet on top, devilish underneath 😈 

The Devil’s Sunrise is the ultimate Halloween cocktail for hellraisers who like their drinks bold

🔥 Would you dare drink it? Tag us if you try it! Link in bio for the full recipe.

Recipe:
3 oz Devil’s Reserve
3 oz Fresh Orange Juice
1/4 oz Grenadine",,10/20/2025 6:10 pm,,"8,861",314,62.0,,,
