brand,platform,post_date,post_type,post_url,content_pillar,content_mix_funnel,collaboration,likes,comments,shares,saves,views,caption_text,hashtags,post_time,video_length_seconds,impressions,total_engagement,caption_word_count,creator_handle,has_creator_collab,is_paid_partnership
Devils Reserve,Instagram,2025-12-29,Reel,https://www.instagram.com/reel/DS2tXZOAqlD/,The Diablito Made Me Do It,,Devils Reserve,20,4,0,5,"1,132","Holiday prep in progress… please stand by 😈❄️ Holiday party mode loading with Devil’s Reserve!

Who’s ready to heat things up?",,12/29/2025 11:55 am,,"1,132",29,21.0,,,
Devils Reserve,Instagram,2025-12-31,Static Image,https://www.instagram.com/p/DS8UIItjfIV/,The Devil's Advocate,,Devils Reserve,16,0,8,1,0,"Starting the year the only way we know how, with Devil’s Reserve! 😈

Who’s ringing it in with you? Tag the below!",,12/31/2025 4:10 pm,,983,25,22.0,,,
Devils Reserve,Instagram,2026-01-06,Static Image,https://www.instagram.com/p/DTL4yN1jynr/,The Diablito Made Me Do It,,Devils Reserve,17,0,3,3,0,"Devil behind the bar 👀 Shots and cocktails coming in hot! 🔥

👉 Drop a 😈 if you’re next in line.",,1/6/2026 5:19 pm,,724,23,21.0,,,
Devils Reserve,Instagram,2026-01-09,Reel,https://www.instagram.com/reel/DTTtBEZFEE2/,The Diablito Made Me Do It,,Devils Reserve,16,0,4,1,844,"Bringing that “let’s go raise a little hell… responsibly” energy 😈 🥂

So… you in or what? Tag your partner in crime in the comments below!",,1/9/2026 6:10 pm,,844,21,26.0,,,
Devils Reserve,Instagram,2026-01-12,Carousel,https://www.instagram.com/p/DTb_IULDkjH/,The Diablito Made Me Do It,,Devils Reserve,13,0,0,1,0,"I spy with my little eye…
a devilishly good time waiting to happen! 😈🔥

👉 Tag us the next time you spot us in the wild!",,1/12/2026 11:22 pm,,591,14,26.0,,,
Devils Reserve,Instagram,2026-01-15,Reel,https://www.instagram.com/reel/DTio8SuCFwz/,The Diablito Made Me Do It,,Devils Reserve,21,0,1,2,952,"You’ve been summoned 😈 ⏱️

Tag your victim below👇",,1/15/2026 1:23 pm,,952,24,9.0,,,
Devils Reserve,Instagram,2026-01-20,Carousel,https://www.instagram.com/p/DTv7z9ZjTpW/,The Diablito Made Me Do It,,Devils Reserve,11,0,1,0,0,"Shotskis and games?
How could you miss out on this?! 😈🔥

👉 Tag your partner-in-chaos and meet us at the next one.",,1/20/2026 5:18 pm,,711,12,22.0,,,
Devils Reserve,Instagram,2026-01-23,Reel,https://www.instagram.com/reel/DT3wJbCElgm/,The Diablito Made Me Do It,,Devils Reserve,18,2,2,2,767,"All you need is good company, devilishly sweet tropical heat, and a little chaos 😈",,1/23/2026 6:10 pm,,767,24,15.0,,,
Devils Reserve,Instagram,2026-01-26,Static Image,https://www.instagram.com/p/DUAAvLljMvR/,The Sweet Heat,,Devils Reserve,17,0,2,0,0,"The GOAT of cocktails doesn’t ask for permission,  it comes with a Devil’s Reserve shooter on top 😈

👉 Try it this weekend and tag us in your masterpiece!",,1/26/2026 11:09 pm,,650,19,29.0,,,
Devils Reserve,Instagram,2026-01-29,Reel,https://www.instagram.com/reel/DUHMJ2MkQdV/,The Diablito Made Me Do It,,Devils Reserve,733,10,65,254,"123,975","Tag the friend who says “one more song” every single time!

(You already know who you are 😏)",,1/29/2026 6:04 pm,,"123,975",1062,18.0,,,
Devils Reserve,Instagram,2026-02-03,Carousel,https://www.instagram.com/p/DUT6nOrDwUe/,The Sweet Heat,,Devils Reserve,12,0,0,0,0,"Devil’s Reserve was crafted to tempt the bold + reward the curious 😈🔥

👉 Learn more in the link in bio + tell us how you drink DR below!",,2/3/2026 4:40 pm,,623,12,29.0,,,
Devils Reserve,Instagram,2026-02-05,Reel,https://www.instagram.com/reel/DUZNrrbEroh/,The Diablito Made Me Do It,,Devils Reserve,21,0,0,2,"1,244","Was it a good idea?
Debatable.
Would we do it again?
Absolutely 😈🥃",,2/5/2026 6:03 pm,,"1,244",23,13.0,,,
Devils Reserve,Instagram,2026-02-09,Static Image,https://www.instagram.com/p/DUkF7R1jI7r/,The Sweet Heat,,Devils Reserve,18,2,3,0,0,"Raise a little hell and sip a Devil’s Reserve marg!

Devil’s Reserve turns a classic into pure chaos (the good kind) 😈

👉 Send this to your marg partner!",,2/9/2026 11:27 pm,,842,23,29.0,,,
Devils Reserve,Instagram,2026-02-12,Reel,https://www.instagram.com/reel/DUrRwRyiH3J/,The Diablito Made Me Do It,,Devils Reserve,27,0,4,7,"23,962",The weekend hits and there’s only one thing on my mind 😈,,2/12/2026 6:26 pm,,"23,962",38,12.0,,,
Devils Reserve,Instagram,2026-02-16,Reel,https://www.instagram.com/reel/DU03gpejqUo/,The Diablito Made Me Do It,,Devils Reserve,11,0,0,0,714,"Main character behavior. Devilish intentions 😈🥂

Tag the friend that brings the devilish vibes to every function!",,2/16/2026 11:48 am,,714,11,17.0,,,
Devils Reserve,Instagram,2026-02-19,Reel,https://www.instagram.com/reel/DU9Aq45EZdX/,The Diablito Made Me Do It,,Devils Reserve,873,16,71,245,"98,024","The real reason the girlies take so long… they’re sharing Devil’s Reserve shots!

Send this to the girls group chat 🤩",,2/19/2026 3:42 pm,,"98,024",1205,21.0,,,
Devils Reserve,Instagram,2026-02-28,Carousel,https://www.instagram.com/p/DVUeUzDDgxp/,Hell on Wheels,,Devils Reserve,32,0,2,0,0,"Think you’ve got the aim (& ready to raise a little hell)?! Drop a 😈 if you’re playing the Devil’s way next race day!

At @nascar we weren’t just watching the action, we were the action with pineapple and jalapeno infused tequila 🌶️🍍",,2/28/2026 6:23 pm,,"2,265",34,43.0,,,
