"Date","Post ID","Network","Post Type","Content Type","Profile","Sent by","Link","Post","Linked Content","Impressions","Organic Impressions","Paid Impressions","Reach","Organic Reach","Paid Reach","Potential Reach","Engagement Rate (per Impression)","Engagements","Reactions","Likes","Dislikes","Love Reactions","Haha Reactions","Wow Reactions","Sad Reactions","Angry Reactions","Comments","Shares","Saves","Post Link Clicks","SproutLink Clicks","Other Post Clicks","Post Clicks (All)","Other Engagements","Subscribers Gained from Video","Annotation Clicks","Card Clicks","Video Views","Organic Video Views","Paid Video Views","Partial Video Views","Organic Partial Video Views","Paid Partial Video Views","Full Video Views","Organic Full Video Views","Paid Full Video Views","Full Video View Rate","Follow Video Views","For You Video Views","Hashtag Video Views","Business Account Video Views","Others Video Views","Search Video Views","Sound Video Views","Unspecified Video Views","Estimated Minutes Watched","Story Taps Back","Story Taps Forward","Story Exits","Story Replies","Video Added to Playlists","Subscribers Lost from Video","Video Removed from Playlists","Average Video Time Watched (Seconds)","Tags"
"2/12/2026 8:53 am","17873318439511140","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3830946085595117665","",,"61","61","","53","53","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","41","6","0","","","","",""
"2/10/2026 11:12 pm","18064536710301890","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3829929275323938702","",,"82","82","","67","67","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","53","14","0","","","","",""
"2/10/2026 11:12 pm","18017419691815803","Instagram","Story","Photo","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3829929224967143409","",,"83","83","","72","72","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","66","5","0","","","","",""
"2/9/2026 11:27 pm","18078925097615673","Instagram","Post","Photo","devilsreserve"," ","https://www.instagram.com/p/DUkF7R1jI7r/","Raise a little hell and sip a Devil’s Reserve marg!

Devil’s Reserve turns a classic into pure chaos (the good kind) 😈

👉 Send this to your marg partner!",,"498","498","","295","295","","","4.62%","23","18","18","","","","","","","2","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/9/2026 11:27 pm","391065524084625_122195850320447934","Facebook","Post","Photo","Devil's Reserve"," ","https://www.facebook.com/122157258710447934/posts/122195850320447934","Raise a little hell and sip a Devil’s Reserve marg!

Devil’s Reserve turns a classic into pure chaos (the good kind) 😈

👉 Send this to your marg partner!","https://www.facebook.com/photo.php?fbid=122195850296447934&set=a.122156205344447934&type=3","3","3","0","2","2","0","","0%","0","0","0","","0","0","0","0","0","0","0","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/5/2026 6:03 pm","18067659314540688","Instagram","Reel","Video","devilsreserve","Estefanie Marmolejo","https://www.instagram.com/reel/DUZNrrbEroh/","Was it a good idea?
Debatable.
Would we do it again?
Absolutely 😈🥃",,"969","969","","779","779","","","2.37%","23","21","21","","","","","","","0","0","2","","","","","","","","","969","969","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/5/2026 6:03 pm","391065524084625_122195383832447934","Facebook","Reel","Video","Devil's Reserve","Estefanie Marmolejo","https://www.facebook.com/reel/782130804905346/","Was it a good idea?
Debatable.
Would we do it again?
Absolutely 😈🥃","https://www.facebook.com/reel/782130804905346/","2","2","0","4","","","","0%","0","0","0","","0","0","0","0","0","0","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","1.28",""
"2/3/2026 4:40 pm","18089046890013821","Instagram","Post","Carousel","devilsreserve"," ","https://www.instagram.com/p/DUT6nOrDwUe/","Devil’s Reserve was crafted to tempt the bold + reward the curious 😈🔥

👉 Learn more in the link in bio + tell us how you drink DR below!",,"340","340","","138","138","","","3.53%","12","12","12","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/3/2026 4:40 pm","391065524084625_122195176310447934","Facebook","Post","Photo","Devil's Reserve"," ","https://www.facebook.com/122157258710447934/posts/122195176310447934","Devil’s Reserve was crafted to tempt the bold + reward the curious 😈🔥

👉 Learn more in the link in bio + tell us how you drink DR below!","https://www.facebook.com/122157258710447934/posts/122195176310447934","7","7","0","6","6","0","","0%","0","0","0","","0","0","0","0","0","0","0","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/2/2026 11:13 am","17936732109171606","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3823768831085614838","",,"79","79","","72","72","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","45","13","0","","","","",""
