"Date","TikTok Profiles","Published Posts","Net Follower Growth","Followers","Video Views","Impressions","Engagements","Engagement Rate (per Impression)","Likes","Comments","Shares","Profile Views"
"01-14-2026","'@devilsreserve","0","0","24","8","8","0","0%","0","0","0","0"
"01-15-2026","'@devilsreserve","1","0","24","114","114","0","0%","0","0","0","0"
"01-16-2026","'@devilsreserve","0","0","24","15","15","0","0%","0","0","0","1"
"01-17-2026","'@devilsreserve","0","0","24","12","12","2","16.67%","2","0","0","0"
"01-18-2026","'@devilsreserve","0","0","24","7","7","0","0%","0","0","0","1"
"01-19-2026","'@devilsreserve","0","0","24","15","15","0","0%","0","0","0","0"
"01-20-2026","'@devilsreserve","0","0","24","9","9","0","0%","0","0","0","0"
"01-21-2026","'@devilsreserve","0","0","24","4","4","0","0%","0","0","0","0"
"01-22-2026","'@devilsreserve","0","0","24","11","11","0","0%","0","0","0","0"
"01-23-2026","'@devilsreserve","0","0","24","2","2","0","0%","0","0","0","0"
"01-24-2026","'@devilsreserve","0","0","24","14","14","0","0%","0","0","0","1"
"01-25-2026","'@devilsreserve","0","0","24","11","11","0","0%","0","0","0","0"
"01-26-2026","'@devilsreserve","0","0","24","6","6","0","0%","0","0","0","0"
"01-27-2026","'@devilsreserve","0","0","24","5","5","0","0%","0","0","0","0"
"01-28-2026","'@devilsreserve","0","0","24","4","4","0","0%","0","0","0","0"
"01-29-2026","'@devilsreserve","0","0","24","2","2","0","0%","0","0","0","0"
"01-30-2026","'@devilsreserve","0","0","24","1","1","0","0%","0","0","0","0"
"01-31-2026","'@devilsreserve","0","0","24","2","2","0","0%","0","0","0","0"
"02-01-2026","'@devilsreserve","0","1","25","4","4","0","0%","0","0","0","0"
"02-02-2026","'@devilsreserve","0","0","25","41","41","0","0%","0","0","0","2"
"02-03-2026","'@devilsreserve","0","0","25","0","0","0","0%","0","0","0","0"
"02-04-2026","'@devilsreserve","0","0","25","8","8","0","0%","0","0","0","0"
"02-05-2026","'@devilsreserve","0","0","25","40","40","0","0%","0","0","0","1"
"02-06-2026","'@devilsreserve","0","0","25","2","2","0","0%","0","0","0","0"
"02-07-2026","'@devilsreserve","0","0","25","18","18","0","0%","0","0","0","1"
"02-08-2026","'@devilsreserve","0","0","25","16","16","1","6.25%","1","0","0","4"
"02-09-2026","'@devilsreserve","0","1","26","1","1","0","0%","0","0","0","0"
"02-10-2026","'@devilsreserve","0","0","26","7","7","0","0%","0","0","0","0"
"02-11-2026","'@devilsreserve","0","0","26","4","4","0","0%","0","0","0","0"
"02-12-2026","'@devilsreserve","0","0","26","18","18","0","0%","0","0","0","1"
"02-13-2026","'@devilsreserve","0","0","26","7","7","0","0%","0","0","0","0"
"02-14-2026","'@devilsreserve","0","0","26","10","10","0","0%","0","0","0","0"
"02-15-2026","'@devilsreserve","0","0","26","9","9","0","0%","0","0","0","0"
"02-16-2026","'@devilsreserve","0","0","26","8","8","0","0%","0","0","0","0"
"02-17-2026","'@devilsreserve","0","0","26","2","2","0","0%","0","0","0","0"
"02-18-2026","'@devilsreserve","0","0","26","24","24","0","0%","0","0","0","2"
"02-19-2026","'@devilsreserve","0","0","26","2","2","0","0%","0","0","0","0"
"02-20-2026","'@devilsreserve","0","0","26","40","40","0","0%","0","0","0","4"
"02-21-2026","'@devilsreserve","0","0","26","2","2","0","0%","0","0","0","0"
"02-22-2026","'@devilsreserve","0","0","26","9","9","0","0%","0","0","0","1"
"02-23-2026","'@devilsreserve","0","0","26","11","11","0","0%","0","0","0","0"
"02-24-2026","'@devilsreserve","0","0","26","4","4","0","0%","0","0","0","0"
"02-25-2026","'@devilsreserve","0","0","26","13","13","0","0%","0","0","0","0"
"02-26-2026","'@devilsreserve","0","0","26","10","10","1","10%","1","0","0","0"
"02-27-2026","'@devilsreserve","0","0","26","15","15","1","6.67%","0","0","1","1"
"02-28-2026","'@devilsreserve","0","0","26","28","28","0","0%","0","0","0","0"
