"Date","Post ID","Network","Post Type","Content Type","Profile","Sent by","Link","Post","Linked Content","Impressions","Organic Impressions","Paid Impressions","Reach","Organic Reach","Paid Reach","Potential Reach","Engagement Rate (per Impression)","Engagements","Reactions","Likes","Dislikes","Love Reactions","Haha Reactions","Wow Reactions","Sad Reactions","Angry Reactions","Comments","Shares","Saves","Post Link Clicks","SproutLink Clicks","Other Post Clicks","Post Clicks (All)","Other Engagements","Subscribers Gained from Video","Annotation Clicks","Card Clicks","Video Views","Organic Video Views","Reels Skip Rate","Crossposted Reels Views","Facebook Reels Views","Paid Video Views","Partial Video Views","Organic Partial Video Views","Paid Partial Video Views","Full Video Views","Organic Full Video Views","Paid Full Video Views","Full Video View Rate","Follow Video Views","For You Video Views","Hashtag Video Views","Business Account Video Views","Others Video Views","Search Video Views","Sound Video Views","Unspecified Video Views","Estimated Minutes Watched","Story Taps Back","Story Taps Forward","Story Exits","Story Replies","Video Added to Playlists","Subscribers Lost from Video","Video Removed from Playlists","Average Video Time Watched (Seconds)","Tags"
"6/5/2025 9:58 am","17904031440068276","Instagram","Story","Video","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3648305294003785361","",,"54","54","","56","56","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","51","8","0","","","","",""
"6/5/2025 9:58 am","18065553839118718","Instagram","Story","Video","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3648305117004257004","",,"62","62","","60","60","","","3.23%","2","","","","","","","","","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","60","3","2","","","","",""
"6/5/2025 9:56 am","18033073994391510","Instagram","Story","Video","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3648304448490701266","",,"63","63","","66","66","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","54","8","0","","","","",""
"6/3/2025 5:37 pm","18080936245762628","Instagram","Post","Carousel","devilsreserve","Estefanie Marmolejo","https://www.instagram.com/p/DKdDfk1gQdJ/","Caught the Devil’s Reserve Bronco causing some trouble 😈

⬇️ Tag your ride-or-die to join you for the next stop on the chaos tour!

#devilsreserve #raisealittlehell #devilsreservebronco #tequila #fun #broncomoments #chaostour",,"722","722","","551","551","","","6.65%","48","38","38","","","","","","","7","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","chaos tour"
"6/1/2025 7:17 pm","18090977929527109","Instagram","Story","Video","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3645687707143066562","",,"47","47","","46","46","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","38","14","0","","","","",""
"6/1/2025 7:15 pm","18064476040897098","Instagram","Story","Video","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3645686723167796948","",,"53","53","","51","51","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","52","3","0","","","","",""
"6/1/2025 7:15 pm","18055713335202339","Instagram","Story","Video","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3645686521321078269","",,"60","60","","56","56","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","49","4","0","","","","",""
"6/1/2025 7:15 pm","17867540124390809","Instagram","Story","Video","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3645686469932414487","",,"59","59","","59","59","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","49","2","0","","","","",""
"6/1/2025 6:46 pm","18024404714694602","Instagram","Reel","Video","devilsreserve","Estefanie Marmolejo","https://www.instagram.com/reel/DKYBt4LIHPa/","Spicy? Smooth? Sinful? 👀😈

First sips of Devil’s Reserve don’t lie… and neither do these reactions! 

#devilsreserve #firsttry #tequila #cuervo #raisealittlehell",,"1,107","1,107","","838","838","","","6.68%","74","50","50","","","","","","","10","11","3","","","","","","","","","1,107","1,107","","","","","","","","","","","","","","","","","","","","","","","","","","","","","akamba, sabo"
"6/1/2025 6:45 pm","7511115563213557038","TikTok","Post","Video","'@devilsreserve","Estefanie Marmolejo","https://www.tiktok.com/@devilsreserve/video/7511115563213557038?utm_campaign=tt4d_open_api&utm_source=7036369194396418050","Spicy? Smooth? Sinful? 👀😈 First sips of Devil’s Reserve don’t lie… and neither do these reactions! #devilsreserve #firsttry #tequila #cuervo #raisealittlehell",,"545","","","425","","","","2.02%","11","8","8","","","","","","","0","3","","","","","","","","","","545","","","","","","","","","","","","0.03","2","115","","33","10","382","0","3","","","","","","","","","7.27","akamba, sabo"
